value
0.91
0.9
0.89
0.88
0.88
0.88
0.95
0.9
0.88
0.88
0.87
0.87
0.87
0.86
0.86
0.86
0.86
0.86
0.86
0.86
0.86
0.86
0.86
0.86
0.85
0.85
0.85
0.85
0.85
0.85
