value
0.97
0.98
1.04
1.12
1.13
1.25
1.31
1.35
1.42
1.48
1.53
1.57
1.61
1.65
1.69
1.72
1.76
1.79
1.7
1.68
1.62
1.59
1.6
1.6
1.6
1.65
1.64
1.64
1.66
1.68
