value
0.96
0.98
1
1.03
1.07
1.11
1.15
1.18
1.21
1.21
1.23
1.25
1.26
1.28
1.29
1.31
1.32
1.33
1.34
1.35
1.35
1.37
1.37
1.38
1.39
1.4
1.41
1.43
1.44
1.45
